,Run ID,Date,Time,Model Name,Model Author,Num Classes,Accuracy,Balanced Accuracy,AUC Score,Average Precision,F1 Score,Precision,Recall,Samples In Train,Samples In Test,Model Description,Column Predicted,Num Features Used,Data and Split Description,Normalized,Num Features Normalized,Feature Extraction,Was Untested Data Predicted,run,stain,num_dead,num_live,size
135,QadGZ7BB1d35r,2019-07-23,17:58:17,random_forest_classification,Hamed,2,0.975,0.975,0.996,0.9940000000000001,0.975,0.9620000000000001,0.988,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1c8xx6qe9eea_r1c93enbf48t7_stain,True,12,False,True,r1c8xx6qe9eea_r1c93enbf48t7,True,30000.0,30000.0,368.88794541139356
136,QRk1DLGbPMw6e,2019-07-23,20:28:57,random_forest_classification,Hamed,2,0.9590000000000001,0.9590000000000001,0.9890000000000001,0.986,0.96,0.94,0.981,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1c8xx6qe9eea_r1c93enbf48t7_no_stain,True,9,False,True,r1c8xx6qe9eea_r1c93enbf48t7,False,30000.0,30000.0,319.4183212277831
137,QRwX5XmM3ZwLe,2019-07-23,17:58:32,random_forest_classification,Hamed,2,0.991,0.991,0.9990000000000001,0.998,0.983,0.976,0.9890000000000001,32380,8096,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1cbut6a79n9t_r1cc34mkuvzeh_stain,True,12,False,True,r1cbut6a79n9t_r1cc34mkuvzeh,True,30000.0,10476.0,471.0530701645917
138,apGMNPPyABVgR,2019-07-23,18:35:42,random_forest_classification,Hamed,2,0.991,0.991,0.9990000000000001,0.998,0.983,0.976,0.991,32380,8096,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1cbut6a79n9t_r1cc34mkuvzeh_no_stain,True,9,False,True,r1cbut6a79n9t_r1cc34mkuvzeh,False,30000.0,10476.0,471.0530701645917
139,6pxz81byRLA8N,2019-07-23,17:58:44,random_forest_classification,Hamed,2,0.965,0.965,0.9940000000000001,0.993,0.966,0.953,0.9790000000000001,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1cfkprehr2fj_r1cft8f7cbsp7_stain,True,12,False,True,r1cfkprehr2fj_r1cft8f7cbsp7,True,30000.0,30000.0,335.24072174927227
140,a7zWrMWj5MzWw,2019-07-23,20:29:11,random_forest_classification,Hamed,2,0.951,0.951,0.986,0.982,0.953,0.9229999999999999,0.9840000000000001,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1cfkprehr2fj_r1cft8f7cbsp7_no_stain,True,9,False,True,r1cfkprehr2fj_r1cft8f7cbsp7,False,30000.0,30000.0,301.5934980871509
141,QwGDoJ28ABrP,2019-07-23,18:02:26,random_forest_classification,Hamed,2,0.9940000000000001,0.993,1.0,0.998,0.977,0.965,0.99,27301,6826,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1d9xx8rjarjuw_r1da5tgwjasvw3_stain,True,12,False,True,r1d9xx8rjarjuw_r1da5tgwjasvw3,True,30000.0,4127.0,511.59958097541
142,aWrM3vdxLMr1V,2019-07-23,20:30:53,random_forest_classification,Hamed,2,0.995,0.992,1.0,0.998,0.98,0.97,0.9890000000000001,27301,6826,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1d9xx8rjarjuw_r1da5tgwjasvw3_no_stain,True,9,False,True,r1d9xx8rjarjuw_r1da5tgwjasvw3,False,30000.0,4127.0,529.8317366548035
143,axMex9p6m5wd,2019-07-23,18:02:38,random_forest_classification,Hamed,2,0.995,0.995,1.0,1.0,0.995,0.9940000000000001,0.996,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1d6r8ykf868ep_r1d98fh76wrqp7_stain,True,12,False,True,r1d6r8ykf868ep_r1d98fh76wrqp7,True,30000.0,30000.0,529.8317366548035
144,QrkPeVlgEXQ7,2019-07-23,19:50:00,random_forest_classification,Hamed,2,0.9940000000000001,0.9940000000000001,0.9990000000000001,0.9990000000000001,0.995,0.992,0.998,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1d6r8ykf868ep_r1d98fh76wrqp7_no_stain,True,9,False,True,r1d6r8ykf868ep_r1d98fh76wrqp7,False,30000.0,30000.0,511.59958097541
145,aWxmzwq6Bg21m,2019-07-23,20:30:54,random_forest_classification,Hamed,2,0.995,0.995,0.9990000000000001,0.9990000000000001,0.995,0.992,0.998,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1d6r8ykf868ep_r1d98fh76wrqp7_no_stain,True,9,False,True,r1d6r8ykf868ep_r1d98fh76wrqp7,False,30000.0,30000.0,529.8317366548035
146,QzMlbXRr2gB2o,2019-07-23,18:03:40,random_forest_classification,Hamed,2,0.995,0.995,1.0,1.0,0.995,0.993,0.997,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1d6r932unhafk_r1d93nuytthhp4_stain,True,12,False,True,r1d6r932unhafk_r1d93nuytthhp4,True,30000.0,30000.0,529.8317366548035
